id_inventario,titulo,nombre_autor,fondo (cm),ancho (cm),alto (cm),tecnica,tipo,material_base,material_secundario,tematica
1001672,ESPIRAL N� 7,"MARTINEZ TORRES, ANTONIO",6.0,22.5,38.0,DESCONOCIDA,ESCULTURA,MADERA,HIERRO,SIN DEFINIR
1001673,PUERTO DE MAHON,"CARRERAS CAPO, ANDA DEL CARMEN",0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1001674,FRIEDERICH Y MARGRITTE SE CITAN EN VANO,"CHARRIS, ANGEL MATEO",0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1001675,TITULO DESCONOCIDO,"SCOTT, REBECA",0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1001676,HABITACION DE HOTEL,"CARRASCOSAS, JOSE LUIS",0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1001677,EL MOZO'S PA',MAYA CORTES,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1001678,TITULO DESCONOCIDO,"PALMERO, LUIS",0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1001679,BOURGEOIS,"BAEZ, JOSE MARIA",0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1001680,GRUA,"VIVO SANCHEZ, MIGUEL",0.0,100.0,43.0,DESCONOCIDA,PINTURA,TABLERO AGLOMERADO/CONTRACHAP.,TECNICA MIXTA,SIN DEFINIR
1001681,PANTALLA,DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1001682,VACACIONES EN EL LAGO TECNOLOGY,J�ELMESTRE FROISSARD,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1001683,GOTAS,"PALAU RICART, FERNANDO",0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR
1001684,LA VIDA,"PALAU RICART, FERNANDO",0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,OTROS,SIN DEFINIR
1001685,VILLA MEDICIS,"SICRE MAQUEDA, GONZALO",0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1001686,EL PIE DE POLLOCK,"SICRE MAQUEDA, GONZALO",0.0,98.0,116.0,DESCONOCIDA,PINTURA,LIENZO,OLEO,SIMBOLICO
1001687,GUERRA DE GIGANTES,"SICRE MAQUEDA, GONZALO",0.0,65.0,61.0,DESCONOCIDA,PINTURA,LIENZO,OLEO,EXPRESIONISMO
1001688,DOS TOREROS,"PEREZ MARTINEZ, AURELIO",0.0,0.0,0.0,DESCONOCIDA,OTROS,,,SIN DEFINIR
1001689,LA ALCANARA,"PEREZ MARTINEZ, AURELIO",0.0,0.0,0.0,DESCONOCIDA,OTROS,,,SIN DEFINIR
