N�_INVENTARIO;TITULO;NOMBRE_AUTOR;FECHA_CREACION;FONDO;ANCHO;ALTO;TECNICA;TIPO;MATERIAL_BASE;MATERIAL_SECUNDARIO;TEMATICA;ESTADO_PATRIMONIAL;USUARIO;ALTA;VALOR_ADQUISICION
1002291;ISABEL DE ARAGON;"MARTINEZ, ANASTASIO";01.01.1962;0;50;50;;ESCULTURA;;ESCAYOLA;RETRATO;Alta patrimonial;;COMPRAVENTA;1202.02
1002292;FIGURA ALEGORICA;"MARTINEZ, ANASTASIO";;34;50;156;;ESCULTURA;BRONCE;ESCAYOLA;ALEGORICA;Alta patrimonial;;COMPRAVENTA;1803.04
1002293;SAN JOSE;MARTINEZ REINA;;60;100;160;;ESCULTURA;;PIEDRA;RELIGIOSA;Alta patrimonial;;COMPRAVENTA;15025.30
1002294;SAN FULGENCIO;MARTINEZ REINA;;60;100;160;;ESCULTURA;;PIEDRA;RELIGIOSA;Alta patrimonial;;COMPRAVENTA;15025.30
1002295;SAN ISIDORO;MARTINEZ REINA;;60;100;160;;ESCULTURA;;PIEDRA;RELIGIOSA;Alta patrimonial;;COMPRAVENTA;15025.30
1002296;SAN LEANDRO;MARTINEZ REINA;;60;100;160;;ESCULTURA;;PIEDRA;RELIGIOSA;Alta patrimonial;;COMPRAVENTA;15025.30
1002297;SANTA FLORENTINA;MARTINEZ REINA;;60;100;160;;ESCULTURA;;PIEDRA;RELIGIOSA;Alta patrimonial;;COMPRAVENTA;15025.30
1002298;SAN BERNARDO;MARTINEZ REINA;;60;100;160;;ESCULTURA;;PIEDRA;RELIGIOSA;Alta patrimonial;;COMPRAVENTA;15025.30
1002299;CABEZA DE NI�O;"MOLERA, JOSE";;23;21;34;;ESCULTURA;BRONCE;;RETRATO;Alta patrimonial;;COMPRAVENTA;1803.04
1002300;CABEZA DE MUJER;"MOLERA, JOSE";;22;22;40;;ESCULTURA;BRONCE;;FIGURATIVO;Alta patrimonial;;COMPRAVENTA;1803.04
1002301;NI�OS;"MOLERA, JOSE";;45;35;105;;ESCULTURA;ESCAYOLA;;;Alta patrimonial;;COMPRAVENTA;2404.05
1002302;NI�A CON PALOMA;"MORENO CASCALES, JOSE";;32;60;128;;ESCULTURA;PIEDRA;;FIGURATIVO;Alta patrimonial;;COMPRAVENTA;5409.11
1002303;DOS NI�AS;"MORENO CASCALES, JOSE";;8;27;40;;ESCULTURA;BRONCE;;FIGURATIVO;Alta patrimonial;;COMPRAVENTA;1803.04
1002304;PAISAJE;"MORENO MORVIEDRO, ELOY";;0;60;40;;PINTURA;LIENZO;OLEO;PAISAJE;Alta patrimonial;;COMPRAVENTA;450.76
1002305;RETRATO DE MUJER;"MARTINEZ MANZANO, ANTONIO";01.01.1956;0;49;60;;PINTURA;LIENZO;OLEO;RETRATO;Alta patrimonial;;COMPRAVENTA;150.25
1002306;CIUDAD MEDITERRANEA;"MORENO SANDOVAL, CEFERINO";01.01.1960;0;119.5;90.5;;PINTURA;TABLEX;OLEO;PAISAJE;Alta patrimonial;;COMPRAVENTA;2404.05
1002307;COMPOSICION;ANONIMO;;17;17;33.5;;ESCULTURA;;PIEDRA;;Alta patrimonial;;COMPRAVENTA;3606.07
1002308;DESNUDO DE MUJER;"ARDIL PAGAN, MANUEL";01.01.1933;13.5;18.5;47;;ESCULTURA;;BRONCE;DESNUDO;Alta patrimonial;;COMPRAVENTA;2404.05
1002309;CRISTO DE LA MISERICORDIA;"BELTRAN, DOMINGO";;0;0;0;;IMAGINERIA;;;RELIGIOSA;Alta patrimonial;;COMPRAVENTA;36060.73
1002310;FIGURA FEMENINA;"BOLARIN, LUIS";;16.3;13.7;46.5;;ESCULTURA;;BARRO;DESNUDO;Alta patrimonial;;COMPRAVENTA;601.01
1002311;MARINERO;"BOLARIN, LUIS";01.01.1954;10.5;16.5;38.4;;ESCULTURA;;BARRO;MARINA;Alta patrimonial;;COMPRAVENTA;601.01
1002312;CABEZA DE NI�A;"CARRILERO, JOSE";;0;20;33;;ESCULTURA;;ESCAYOLA;RETRATO;Alta patrimonial;;COMPRAVENTA;240.40
1002313;DESNUDO FEMENINO;"CARRILERO, JOSE";;0;17;43;;ESCULTURA;;YESO;DESNUDO;Alta patrimonial;;COMPRAVENTA;360.61
1002314;DESNUDO FEMENINO (DESCANSO);"CARRILERO, JOSE";01.01.1954;0;25;37;;ESCULTURA;;ESCAYOLA;DESNUDO;Alta patrimonial;;COMPRAVENTA;450.76
1002315;BUSTO FEMENINO;"CARRION VALVERDE, ANTONIO";01.01.1933;26;30.5;45;;ESCULTURA;;MADERA;;Alta patrimonial;;COMPRAVENTA;901.52
1002316;DESNUDO DE MUJER;"GARCIA MENGUAL, JOSE";01.01.1933;31;31.5;62;;ESCULTURA;;MARMOL;COMPOSICION;Alta patrimonial;;COMPRAVENTA;3606.07
1002317;MATERNIDAD;"GARCIA MENGUAL, JOSE";;40;45;178;;ESCULTURA;;PIEDRA;ALEGORICA;Alta patrimonial;;COMPRAVENTA;9015.18
1002318;ERECCION;"GARCIA MENGUAL, JOSE";;45;115;61;;ESCULTURA;;MARMOL;ALEGORICA;Alta patrimonial;;COMPRAVENTA;4808.10
1002319;COMPOSICION ACADEMICA;CAMPILLO CARCELES;01.01.1935;0;110;118;;PINTURA;LIENZO;OLEO;FIGURATIVO;Alta patrimonial;;COMPRAVENTA;901.52
1002320;ROMERIA;"GARRIGOS, ANTONIO";;9.5;100;68;;ESCULTURA;;BARRO;COSTUMBRISMO;Alta patrimonial;;COMPRAVENTA;4808.10
1002321;EL VALLE;CAMPILLO CARCELES;;0;70;47;;PINTURA;LIENZO;OLEO;PAISAJE;Alta patrimonial;;COMPRAVENTA;841.42
1002322;MOLITO 2;"GIMENEZ CARRAMI�ANA, SARA";01.01.1984;60;33;148;;ESCULTURA;;PIEDRA;COMPOSICION;Alta patrimonial;;COMPRAVENTA;1803.04
1002323;JARDIN BOTANICO;"PEREZ MARTINEZ, AURELIO";01.01.1953;0;53;65;;PINTURA;TABLEX;OLEO;PAISAJE;Alta patrimonial;;COMPRAVENTA;2103.54
1002324;CAPERUCITA;PEYROT;;0;80;100;;PINTURA;TABLEX;ACRILICO;ALEGORICA;Alta patrimonial;;COMPRAVENTA;360.61
1002325;ARLEQUIN;"PINA NORTES, �NGEL";;0;59;79;;PINTURA;LIENZO;OLEO;GENERO;Alta patrimonial;;COMPRAVENTA;1051.77
1002326;PATIO;PONTONES;;0;60;88;;PINTURA;LIENZO;OLEO;PAISAJE;Alta patrimonial;;COMPRAVENTA;1202.02
1002327;BA�OS;"PORTELA, FRANCISCO";;0;46;28;;PINTURA;LIENZO;OLEO;PAISAJE;Alta patrimonial;;COMPRAVENTA;1352.28
1002328;VISTA DEL PUERTO DE CARTAGENA;"PORTELA, FRANCISCO";;0;49;30;;PINTURA;LIENZO;OLEO;PAISAJE;Alta patrimonial;;COMPRAVENTA;1352.28
1002329;BARCOS DE GUERRA;"PORTELA, FRANCISCO";01.01.2029;0;95;57;;PINTURA;LIENZO;OLEO;MARINA;Alta patrimonial;;COMPRAVENTA;2103.54
1002330;OXFORD;"PRIETO, GREGORIO";;0;39;55;;DIBUJO;PAPEL;OTROS;PAISAJE;Alta patrimonial;;COMPRAVENTA;901.52
1002331;PAISAJE;"PUCH ORTA, GONZALO";01.01.1984;0;230;220;;PINTURA;LIENZO;OTROS;COMPOSICION;Adscrito patrimonial;SERVICIO MURCIANO DE SALUD;COMPRAVENTA;0.00
1002332;PAISAJE CON CABRAS;"PUCHE, AMADOR";;0;74;57;;PINTURA;TABLEX;OLEO;PAISAJE;Alta patrimonial;;COMPRAVENTA;1652.78
1002333;PAISAJE DE MAZARRON;"PUCHE, AMADOR";01.01.1980;0;71.5;54.5;;PINTURA;TABLEX;OLEO;PAISAJE;Alta patrimonial;;COMPRAVENTA;1652.78
1002334;PARTO;"QUEJIDO, MANUEL";01.01.1979;0;179;190;;PINTURA;LIENZO;ACRILICO;FIGURATIVO;Alta patrimonial;;COMPRAVENTA;9015.18
1002335;ANCIANO SENTADO;MIGUEL ANGEL R.;01.01.1977;0;68.5;94;;PINTURA;LIENZO;OLEO;RETRATO;Alta patrimonial;;COMPRAVENTA;360.61
1002336;PAISAJE;RAMIREZ;;0;44.5;37;;PINTURA;TABLEX;OLEO;PAISAJE;Alta patrimonial;;COMPRAVENTA;150.25
1002337;PAISAJE;RENTERO M.;01.01.1979;0;55;38;;PINTURA;LIENZO;OLEO;PAISAJE;Alta patrimonial;;COMPRAVENTA;90.15
1002338;COSTURERAS I;"REYES GUILLEN, J.";01.01.1952;0;24;32;;PINTURA;PAPEL;ACUARELA;GENERO;Alta patrimonial;;COMPRAVENTA;240.40
1002339;PAISAJE CON MONTA�AS;"REYES GUILLEN, J.";01.01.1949;0;21;26;;PINTURA;PAPEL;ACUARELA;PAISAJE;Alta patrimonial;;COMPRAVENTA;120.20
1002340;BOCA ROJA;"BLAS, J.T. DE";;0;64.5;80;;PINTURA;PAPEL;;FIGURATIVO;Alta patrimonial;;COMPRAVENTA;240.40
1002341;PAISAJE MONTA�OSO;"REYES GUILLEN, J.";01.01.1949;0;23.8;33.5;;PINTURA;PAPEL;ACUARELA;PAISAJE;Alta patrimonial;;COMPRAVENTA;210.35
1002342;ABSTRACCION;VAN DEN BULLKEN;;0;81;60;;PINTURA;LIENZO;ACRILICO;;Alta patrimonial;;COMPRAVENTA;180.30
1002343;LA CATEDRAL VISTA POR ZURBARAN;"CACHO, JOSE LUIS";01.01.1985;0;195;260;;PINTURA;LIENZO;ACRILICO;;Alta patrimonial;;COMPRAVENTA;6611.13
1002344;BARGUE�O;ANONIMO;;0;0;0;;MUEBLE ARTISTICO;MADERA;;;Alta patrimonial;;COMPRAVENTA;15025.30
1002345;COMPOSICION CON COPA;YES CAMACHO;;0;44;53;;PINTURA;;;SIMBOLICO;Alta patrimonial;;COMPRAVENTA;180.30
1002346;BASTRACCION EN ROJO;CAMPANO;;0;350;201;;PINTURA;LIENZO;ACRILICO;;Alta patrimonial;;COMPRAVENTA;18030.36
1002347;RETABLO DE SAN RAFAEL;ANONIMO;;0;0;0;;ESCULTURA;MADERA;;RELIGIOSA;Alta patrimonial;;COMPRAVENTA;36060.73
1002351;CABEZA INFANTIL;DESCONOCIDO;;22;22;34;;ESCULTURA;ESCAYOLA;;RETRATO;Alta patrimonial;;COMPRAVENTA;601.01
1002352;FIGURA FEMENINA;"MARTINEZ, ANASTASIO";;0;31;106;;ESCULTURA;ARCILLA;OTROS;FIGURATIVO;Alta patrimonial;;COMPRAVENTA;4207.08
1002353;CRISTO DE LA SALUD;ANONIMO;;0;170;225;;ESCULTURA;MADERA;OTROS;RELIGIOSA;Alta patrimonial;;COMPRAVENTA;48080.97
